Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Contract_Month-to-month,NoSeniorCitizen_Contract_Month-to-month,PaymentMethod0_Contract_Month-to-month0,InternetService_Fiber optic,StreamingTV_NoInternetService,No_OB_DP_TS,TotalServices,SenCit_Dependents,Partner_Dependents,SenCit_Partner,SenCit_Contract,SenCit_TechSupport,SenCit_PayMeth,Contract_mean_totCharges,Contract_totCharges_diff,PayMeth_mean_monthCharges,PayMeth_monthCharges_diff,Tenure_cat,MonthlyCharges_cat
0,0,1,0,36,1,2,1,2,2,2,2,0,2,2,1,1,106.05,3834.4,0,1,0,0,0,1,1,2,0,1,1,2,2,1,3683.643191800877,150.75680819912304,66.7036565324568,39.34634346754319,3,0
1,0,0,0,10,1,0,0,2,0,0,2,2,0,0,0,1,62.25,612.95,0,0,1,0,1,1,1,1,0,0,0,0,2,1,1370.9231314432975,-757.9731314432975,66.7036565324568,-4.4536565324568045,0,0
1,0,1,1,25,1,0,2,1,1,1,1,1,1,0,1,0,19.15,477.6,0,0,1,1,1,0,1,7,1,2,1,0,1,0,1370.9231314432975,-893.3231314432975,62.961703124999964,-43.811703124999966,2,0
0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,1,20.0,137.6,1,0,1,0,1,0,1,7,0,0,0,0,1,1,1370.9231314432975,-1233.3231314432976,66.7036565324568,-46.703656532456804,0,0
0,1,0,0,24,1,0,2,1,1,1,1,1,1,0,1,0,20.3,459.95,0,0,0,1,1,0,1,7,1,0,1,1,2,1,1370.9231314432975,-910.9731314432975,62.961703124999964,-42.66170312499996,2,0
0,0,1,0,71,1,2,1,2,2,0,0,2,0,1,0,0,95.65,6856.95,0,1,0,0,0,1,1,2,0,1,1,1,0,0,3018.965635738831,3837.9843642611686,62.961703124999964,32.68829687500004,5,0
0,1,0,0,34,1,2,1,0,2,0,2,2,0,0,1,0,96.35,3190.25,0,0,0,1,0,1,1,2,1,0,1,1,3,1,1370.9231314432975,1819.3268685567025,62.961703124999964,33.38829687500003,2,0
0,0,1,1,27,1,0,1,2,0,0,0,0,0,0,0,0,74.4,1972.35,0,0,1,1,0,1,0,2,1,2,1,0,0,0,1370.9231314432975,601.4268685567024,62.961703124999964,11.438296875000042,2,0
0,1,1,0,54,1,2,1,2,2,2,2,2,2,1,1,1,115.6,6431.05,0,1,0,0,0,1,1,2,1,1,2,2,3,2,3018.965635738831,3412.084364261169,66.7036565324568,48.89634346754319,4,0
0,0,0,0,25,1,0,0,2,2,2,2,2,0,1,0,0,74.3,1863.8,1,1,0,0,1,1,1,1,0,0,0,1,2,0,3018.965635738831,-1155.1656357388313,62.961703124999964,11.338296875000033,2,0
0,0,1,0,40,1,2,1,0,0,0,2,0,0,0,1,1,78.85,3126.85,0,0,1,0,0,1,1,2,0,1,1,0,2,1,1370.9231314432975,1755.9268685567024,66.7036565324568,12.14634346754319,3,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,45.25,45.25,0,0,0,0,1,1,0,1,1,0,1,1,1,2,1370.9231314432975,-1325.6731314432975,66.7036565324568,-21.453656532456804,0,0
0,0,0,0,70,1,2,1,2,2,2,2,2,2,1,0,1,115.55,8127.6,1,1,0,0,0,1,1,2,0,0,0,1,2,1,3018.965635738831,5108.634364261169,66.7036565324568,48.84634346754319,5,0
0,0,1,1,71,0,1,0,2,2,0,2,2,2,2,0,1,59.7,4122.65,0,1,0,0,1,1,1,0,1,2,1,2,2,1,3683.643191800877,439.0068081991226,66.7036565324568,-7.003656532456802,5,0
0,0,1,0,58,1,2,1,2,2,0,2,2,2,2,1,1,109.1,6393.65,0,1,0,0,0,1,1,2,0,1,1,2,2,1,3683.643191800877,2710.0068081991226,66.7036565324568,42.39634346754319,4,0
1,1,1,1,72,0,1,0,2,2,2,2,2,2,2,1,1,64.8,4732.35,0,1,0,0,1,1,1,0,2,2,2,3,3,2,3683.643191800877,1048.7068081991233,66.7036565324568,-1.9036565324568073,5,0
1,0,0,0,72,0,1,0,2,2,2,2,2,2,2,1,1,63.7,4464.8,0,1,0,0,1,1,1,0,0,0,0,2,2,1,3683.643191800877,781.1568081991231,66.7036565324568,-3.0036565324568016,5,0
1,0,1,1,42,1,0,0,2,0,0,2,0,2,1,0,1,63.7,2763.35,0,1,0,0,1,1,1,1,1,2,1,1,2,1,3018.965635738831,-255.61563573883132,66.7036565324568,-3.0036565324568016,3,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,19.8,19.8,1,0,1,1,1,0,1,7,0,0,0,0,1,0,1370.9231314432975,-1351.1231314432976,62.961703124999964,-43.16170312499996,0,0
0,1,1,1,34,1,2,1,0,2,0,0,0,0,0,1,0,79.6,2718.3,1,0,0,1,0,1,1,2,2,2,2,1,1,1,1370.9231314432975,1347.3768685567027,62.961703124999964,16.63829687500003,2,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,1,70.05,266.9,1,0,1,0,0,1,0,2,0,0,0,0,0,1,1370.9231314432975,-1104.0231314432976,66.7036565324568,3.3463434675431927,0,0
0,0,1,1,6,1,0,2,1,1,1,1,1,1,1,0,0,19.7,94.45,0,1,0,0,1,0,1,7,1,2,1,1,1,0,3018.965635738831,-2924.5156357388314,62.961703124999964,-43.26170312499997,0,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,21.1,21.1,0,0,1,1,1,0,1,7,0,0,0,0,1,0,1370.9231314432975,-1349.8231314432976,62.961703124999964,-41.86170312499996,0,0
1,0,1,0,67,1,2,0,2,2,2,2,0,0,2,0,1,70.9,4677.1,0,1,0,0,1,1,1,1,0,1,1,2,2,1,3683.643191800877,993.4568081991233,66.7036565324568,4.196343467543201,5,0
1,0,0,0,1,1,0,0,0,0,0,0,2,2,0,1,0,62.8,62.8,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1370.9231314432975,-1308.1231314432976,62.961703124999964,-0.16170312499996697,0,0
1,0,0,0,54,1,0,0,2,2,0,2,2,0,0,1,0,69.9,3883.3,0,0,1,1,1,1,1,1,0,0,0,0,2,0,1370.9231314432975,2512.376868556703,62.961703124999964,6.9382968750000416,4,0
0,0,1,1,51,1,0,0,2,2,2,2,2,2,2,0,1,85.5,4421.95,0,1,0,0,1,1,1,1,1,2,1,2,2,1,3683.643191800877,738.3068081991228,66.7036565324568,18.796343467543196,4,0
1,0,1,0,69,1,2,1,2,2,2,2,0,2,1,1,1,107.2,7317.1,0,1,0,0,0,1,1,2,0,1,1,1,2,1,3018.965635738831,4298.134364261169,66.7036565324568,40.4963434675432,5,0
1,0,0,1,6,1,0,1,0,0,2,0,2,2,0,0,0,94.5,575.45,1,0,1,1,0,1,1,2,1,1,0,0,0,0,1370.9231314432975,-795.4731314432975,62.961703124999964,31.538296875000036,0,0
1,0,1,1,63,1,2,2,1,1,1,1,1,1,2,0,0,25.25,1573.05,0,1,0,0,1,0,1,7,1,2,1,2,1,0,3683.643191800877,-2110.5931918008773,62.961703124999964,-37.711703124999964,5,0
1,0,1,1,72,1,2,1,2,2,2,2,2,2,2,0,1,114.45,8100.55,0,1,0,0,0,1,1,2,1,2,1,2,2,1,3683.643191800877,4416.906808199123,66.7036565324568,47.7463434675432,5,0
1,0,0,0,3,1,0,2,1,1,1,1,1,1,0,1,0,19.8,58.15,1,0,1,1,1,0,1,7,0,0,0,0,1,0,1370.9231314432975,-1312.7731314432974,62.961703124999964,-43.16170312499996,0,0
0,0,1,1,70,0,1,0,0,2,2,2,2,2,1,1,1,58.4,4113.15,0,1,0,0,1,1,1,0,1,2,1,1,2,1,3018.965635738831,1094.1843642611684,66.7036565324568,-8.303656532456806,5,0
1,0,0,0,39,0,1,0,2,2,0,2,2,0,0,1,1,48.95,1880.85,1,0,1,0,1,1,1,0,0,0,0,0,2,1,1370.9231314432975,509.9268685567024,66.7036565324568,-17.7536565324568,3,0
0,0,0,0,7,1,0,1,0,2,0,0,2,2,1,1,0,94.05,633.45,0,1,0,0,0,1,1,2,0,0,0,1,0,0,3018.965635738831,-2385.5156357388314,62.961703124999964,31.088296875000033,0,0
1,0,0,0,14,1,2,1,0,0,0,2,2,0,0,1,0,89.95,1178.4,1,0,1,1,0,1,1,2,0,0,0,0,2,0,1370.9231314432975,-192.52313144329742,62.961703124999964,26.98829687500004,1,0
0,1,1,0,48,1,2,1,2,2,2,2,2,2,0,0,0,117.45,5438.9,1,0,0,1,0,1,1,2,1,1,2,1,3,1,1370.9231314432975,4067.9768685567024,62.961703124999964,54.48829687500004,4,0
1,0,0,0,54,1,2,1,0,0,2,0,0,2,0,0,1,89.4,4869.5,0,0,1,0,0,1,1,2,0,0,0,0,0,1,1370.9231314432975,3498.5768685567027,66.7036565324568,22.6963434675432,4,0
0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,0,1,117.5,8670.1,0,1,0,0,0,1,1,2,1,2,1,2,2,1,3683.643191800877,4986.456808199124,66.7036565324568,50.796343467543196,5,0
1,0,0,0,50,0,1,0,2,0,0,2,0,0,1,1,0,35.4,1748.9,0,1,0,0,1,1,1,0,0,0,0,1,2,0,3018.965635738831,-1270.0656357388311,62.961703124999964,-27.561703124999966,4,0
0,0,1,0,58,1,2,0,2,0,0,2,0,2,1,1,0,68.4,3972.25,0,1,0,0,1,1,1,1,0,1,1,1,2,0,3018.965635738831,953.2843642611688,62.961703124999964,5.4382968750000416,4,0
0,0,0,0,48,1,2,2,1,1,1,1,1,1,2,0,1,24.0,1183.05,0,1,0,0,1,0,1,7,0,0,0,2,1,1,3683.643191800877,-2500.5931918008773,66.7036565324568,-42.703656532456804,4,0
1,0,1,0,69,0,1,0,2,0,2,2,2,2,2,0,1,60.25,4055.5,0,1,0,0,1,1,1,0,0,1,1,2,2,1,3683.643191800877,371.85680819912295,66.7036565324568,-6.4536565324568045,5,0
1,0,1,1,23,1,0,2,1,1,1,1,1,1,1,0,0,19.65,436.9,0,1,0,0,1,0,1,7,1,2,1,1,1,0,3018.965635738831,-2582.065635738831,62.961703124999964,-43.311703124999966,1,0
1,0,1,1,56,1,0,0,2,2,2,0,0,0,2,1,1,59.8,3457.45,0,1,0,0,1,1,1,1,1,2,1,2,0,1,3683.643191800877,-226.19319180087723,66.7036565324568,-6.903656532456807,4,0
1,0,0,0,8,1,2,0,0,0,0,0,2,0,0,1,0,59.25,436.6,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1370.9231314432975,-934.3231314432975,62.961703124999964,-3.711703124999964,0,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,19.6,19.6,1,0,1,1,1,0,1,7,0,0,0,0,1,0,1370.9231314432975,-1351.3231314432976,62.961703124999964,-43.36170312499996,0,0
0,0,0,0,41,1,2,1,2,2,2,2,2,0,0,1,0,106.5,4282.4,0,0,1,1,0,1,1,2,0,0,0,0,2,0,1370.9231314432975,2911.4768685567024,62.961703124999964,43.538296875000036,3,0
